Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot254,"Fershte",3,Completed,"North Construction Site","North Construction Site: Objective #3","1","17:07:44","17:09:23",
Bot254,"Fershte",3,Completed,"North Construction Site","North Construction Site: Objective #1","1","17:09:29","17:10:07",
Bot254,"Fershte",3,Completed,"North Construction Site","North Construction Site: Objective #2","1","17:10:12","17:10:26",
Bot254,"Fershte",3,Active,"Goshan North Office","Goshan North Office: Objective #2","1","17:10:32","N/A",
Bot255,"NastyInc",14,Archived,"IDEA North Bus","IDEA North Bus: Objective #1","1","17:07:46","17:08:01",
Bot255,"NastyInc",14,Completed,"IDEA Office","IDEA Office: Objective #3","1","17:08:06","17:13:57",
Bot255,"NastyInc",14,Completed,"IDEA Office","IDEA Office: Objective #2","3","17:14:02","17:15:06",
Bot255,"NastyInc",14,Failed,"Goshan North Office","Goshan North Office: Objective #2","1","17:15:12","17:20:28",
Bot256,"Kiki",12,Archived,"IDEA North Bus","IDEA North Bus: Objective #1","1","17:07:46","17:15:32",
Bot256,"Kiki",12,Completed,"IDEA Office","IDEA Office: Objective #2","3","17:15:37","17:16:57",
Bot256,"Kiki",12,Completed,"IDEA Office","IDEA Office: Objective #3","1","17:17:02","17:17:49",
Bot256,"Kiki",12,Completed,"IDEA Office","IDEA Office: Objective #1","2","17:17:54","17:21:08",
Bot256,"Kiki",12,Archived,"IDEA Registers","IDEA Registers: Objective #1","1","17:21:14","17:22:01",
Bot256,"Kiki",12,Pending,"TTS","TTS: Objective #1","1","17:22:06","N/A",
Bot256,"Kiki",12,Completed,"TTS","TTS: Objective #4","1","17:22:59","17:27:30",
Bot256,"Kiki",12,Completed,"TTS","TTS: Objective #3","1","17:27:35","17:27:42",
Bot256,"Kiki",12,Completed,"TTS","TTS: Objective #2","1","17:27:47","17:27:55",
Bot256,"Kiki",12,Pending,"Mantis","Mantis: Objective #1","1","17:28:00","N/A",
Bot256,"Kiki",12,Failed,"Mantis","Mantis: Objective #2","1","17:31:11","17:31:11",
Bot256,"Kiki",12,Completed,"Mantis","Mantis: Objective #4","1","17:31:16","17:32:10",
Bot256,"Kiki",12,Completed,"Mantis","Mantis: Objective #3","1","17:32:15","17:34:31",
Bot256,"Kiki",12,Active,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","1","17:34:36","N/A",
Bot257,"dushaoan",15,Active,"Database - Part 1","Item IDEA cargo manifests","1","17:07:47","N/A",
Bot258,"Thunderbags",15,Failed,"Pharmacy","Pharmacy: Objective #1","1","17:07:47","17:26:12",
Bot259,"oroku",18,Completed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_1","1","17:07:48","17:08:00",
Bot259,"oroku",18,Completed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_3","1","17:08:06","17:09:25",
Bot259,"oroku",18,Active,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","17:09:30","N/A",
Bot278,"Carl",10,Pending,"Rasmussen","Rasmussen: Objective #1","1","17:09:43","N/A",
Bot277,"Leonana69",8,Archived,"OLI Mall Entrance","OLI Mall Entrance: Objective #3","1","17:09:45","17:10:27",
Bot277,"Leonana69",8,Archived,"OLI Mall Entrance","OLI Mall Entrance: Objective #2","1","17:10:32","17:10:35",
Bot277,"Leonana69",8,Archived,"OLI Mall Entrance","OLI Mall Entrance: Objective #1","1","17:10:40","17:10:45",
Bot277,"Leonana69",8,Completed,"Techlight","Techlight: Objective #2","3","17:10:50","17:14:13",
Bot277,"Leonana69",8,Completed,"Techlight","Techlight: Objective #1","3","17:14:18","17:15:44",
Bot277,"Leonana69",8,Completed,"TEXHO","TEXHO: Objective #2","1","17:15:49","17:16:47",
Bot277,"Leonana69",8,Completed,"TEXHO","TEXHO: Objective #1","1","17:16:52","17:18:09",
Bot277,"Leonana69",8,Completed,"KIBA Investigate","KIBA Investigate: Objective #1","2","17:18:14","17:20:24",
Bot277,"Leonana69",8,Completed,"Generic","Generic: Objective #1","1","17:20:25","17:21:59",
Bot277,"Leonana69",8,Completed,"Generic","Generic: Objective #2","1","17:22:04","17:22:10",
Bot277,"Leonana69",8,Pending,"OLI Showroom West","OLI Showroom West: Objective #7","1","17:22:15","N/A",
Bot277,"Leonana69",8,Completed,"OLI Showroom West","OLI Showroom West: Objective #2","1","17:23:39","17:24:18",
Bot277,"Leonana69",8,Completed,"OLI Showroom West","OLI Showroom West: Objective #3","1","17:24:23","17:25:44",
Bot280,"jbs4bmx",10,Completed,"IDEA Office","IDEA Office: Objective #3","1","17:10:22","17:10:53",
Bot280,"jbs4bmx",10,Failed,"IDEA Office","IDEA Office: Objective #2","1","17:10:58","17:11:27",
Bot284,"Yakhmet",8,Failed,"KIBA Investigate","KIBA Investigate: Objective #1","1","17:10:55","17:13:51",
Bot283,"TorturedChunk",7,Active,"OLI Showroom Center","OLI Showroom Center: Objective #1","1","17:10:57","N/A",
Bot285,"kmyuhkyuk",7,Failed,"KIBA Investigate","KIBA Investigate: Objective #1","1","17:10:57","17:14:51",
Bot297,"TEOA",14,Failed,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","1","17:12:58","17:16:47",
Bot307,"bandit",11,Active,"IDEA Office","IDEA Office: Objective #1","1","17:14:03","N/A",
Bot308,"Queen-Goddess",9,Active,"Railway Area","Railway Area: Objective #2","1","17:14:07","N/A",
Bot309,"Echo55",5,Completed,"Railway Stashes","Railway Stashes: Objective #5","1","17:14:22","17:14:32",
Bot324,"Изя Скульптор (XkaOnslaught)",1,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","4","17:16:17","17:26:15",
Bot324,"Изя Скульптор (XkaOnslaught)",1,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #2","1","17:26:20","17:26:29",
Bot332,"Санёк Колпак (HB)",1,Active,"Pharma","Pharma: Objective #1","1","17:17:43","N/A",
Bot330,"野猪",13,Failed,"IDEA North Bus","IDEA North Bus: Objective #1","1","17:17:47","17:28:31",
Bot338,"Фёдор Ебучий (epidemicz)",1,Active,"Techlight","Techlight: Objective #1","1","17:18:16","N/A",
Bot336,"Найк Грустный (kova)",1,Completed,"Goshan South Office","Goshan South Office: Objective #2","1","17:18:16","17:19:30",
Bot336,"Найк Грустный (kova)",1,Active,"Goshan South Office","Goshan South Office: Objective #1","1","17:19:35","N/A",
Bot340,"ThurmanMurman",8,Pending,"OLI SE Office","OLI SE Office: Objective #1","1","17:18:18","N/A",
Bot340,"ThurmanMurman",8,Completed,"Goshan South Office","Goshan South Office: Objective #1","3","17:18:45","17:19:34",
Bot340,"ThurmanMurman",8,Failed,"OLI Showroom Center","OLI Showroom Center: Objective #1","1","17:19:39","17:20:05",
Bot340,"ThurmanMurman",8,Completed,"OLI Showroom Center","OLI Showroom Center: Objective #2","1","17:20:10","17:22:09",
Bot340,"ThurmanMurman",8,Pending,"OLI Showroom Center","OLI Showroom Center: Objective #3","1","17:22:14","N/A",
Bot357,"nidhoeggr",15,Pending,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","17:22:02","N/A",
Bot356,"MoxoPixel",8,Active,"IDEA Office","IDEA Office: Objective #1","1","17:22:03","N/A",
Bot359,"ObiOne",16,Pending,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","17:22:07","N/A",
Bot358,"Sanote",12,Pending,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","1","17:22:14","N/A",
Bot361,"jennacide",1,Active,"Power Station West Shack","Power Station West Shack: Objective #1","1","17:22:15","N/A",
Bot360,"kova",11,Completed,"IDEA Registers","IDEA Registers: Objective #1","1","17:22:16","17:25:18",
Bot360,"kova",11,Active,"TTS","TTS: Objective #1","1","17:25:23","N/A",
Bot363,"Glukhar_111",8,Pending,"Pharma","Pharma: Objective #1","1","17:22:18","N/A",
Bot362,"NastyInc",3,Pending,"Goshan North Office","Goshan North Office: Objective #2","1","17:22:19","N/A",
Bot364,"Stealthsuit",18,Failed,"Database - Part 2","Item OLI cargo route documents","1","17:22:43","17:24:22",
Bot366,"Зураб Бокс (TinglePlayerParkov)",1,Failed,"OLI NE Office","OLI NE Office: Objective #1","1","17:22:53","17:26:16",
Bot367,"Даня Фотошоп (Belette)",1,Failed,"Goshan South Office","Goshan South Office: Objective #1","1","17:23:06","17:26:33",
Bot373,"Кайл Трехмерный (mighty_condor)",1,Pending,"Goshan Automotive Section","Goshan Automotive Section: Objective #1","1","17:23:30","N/A",
Bot379,"toaddsworth",8,Active,"Goshan South Office","Goshan South Office: Objective #1","1","17:24:30","N/A",
Bot383,"Ботир Всемогущий (CharlieMike)",1,Completed,"Power Station","Power Station: Objective #2","1","17:24:57","17:25:14",
Bot388,"Archy",8,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #1","1","17:25:35","17:28:47",
Bot388,"Archy",8,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #2","1","17:28:52","17:28:59",
Bot388,"Archy",8,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #4","1","17:29:04","17:29:09",
Bot388,"Archy",8,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #3","1","17:29:14","17:29:19",
Bot388,"Archy",8,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #5","1","17:29:24","17:29:37",
Bot388,"Archy",8,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #7","1","17:29:43","17:30:30",
Bot388,"Archy",8,Completed,"Goshan Loading Corridor","Goshan Loading Corridor: Objective #6","1","17:30:35","17:30:45",
Bot388,"Archy",8,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #1","4","17:30:50","17:32:11",
Bot388,"Archy",8,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","4","17:32:16","17:33:31",
Bot388,"Archy",8,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #2","4","17:33:36","17:35:44",
Bot388,"Archy",8,Active,"KIBA Investigate","KIBA Investigate: Objective #1","1","17:35:50","N/A",
Bot387,"papershredder432",15,Failed,"OLI Loading Dock Stashes","OLI Loading Dock Stashes: Objective #5","1","17:25:37","17:27:48",
Bot387,"papershredder432",15,Failed,"OLI Loading Dock Stashes","OLI Loading Dock Stashes: Objective #3","1","17:26:19","17:27:48",
Bot394,"Дэнчик Бибис (DeadLeaves)",1,Active,"OLI NW Office","OLI NW Office: Objective #1","1","17:26:39","N/A",
Bot400,"Егор Мочалка (Paulov)",1,Active,"Rasmussen","Rasmussen: Objective #4","1","17:27:04","N/A",
Bot398,"toaddsworth",11,Failed,"Techlight","Techlight: Objective #2","2","17:27:06","17:27:51",
Bot399,"Claus1978",9,Failed,"Techlight","Techlight: Objective #2","1","17:27:06","17:27:51",
Bot402,"snapple",6,Pending,"OLI Loading Area","OLI Loading Area: Objective #2","1","17:27:43","N/A",
Bot402,"snapple",6,Completed,"OLI Loading Area","OLI Loading Area: Objective #5","1","17:30:01","17:30:23",
Bot402,"snapple",6,Completed,"OLI Loading Area","OLI Loading Area: Objective #3","1","17:30:28","17:30:42",
Bot402,"snapple",6,Completed,"OLI Loading Area","OLI Loading Area: Objective #4","1","17:30:47","17:31:14",
Bot402,"snapple",6,Active,"OLI Loading Area","OLI Loading Area: Objective #1","1","17:31:19","N/A",
Bot404,"ShadowXtrex",3,Completed,"Railway Stashes","Railway Stashes: Objective #5","1","17:27:48","17:27:58",
Bot404,"ShadowXtrex",3,Completed,"Railway Stashes","Railway Stashes: Objective #4","1","17:28:03","17:28:16",
Bot404,"ShadowXtrex",3,Completed,"Railway Stashes","Railway Stashes: Objective #3","1","17:28:21","17:28:41",
Bot404,"ShadowXtrex",3,Completed,"Railway Stashes","Railway Stashes: Objective #2","1","17:28:46","17:29:14",
Bot404,"ShadowXtrex",3,Completed,"Railway Stashes","Railway Stashes: Objective #1","1","17:29:19","17:29:51",
Bot404,"ShadowXtrex",3,Active,"Mantis","Mantis: Objective #2","1","17:29:56","N/A",
Bot405,"白闲者",12,Completed,"Railway Stashes","Railway Stashes: Objective #5","1","17:27:51","17:28:01",
Bot403,"Borkel",7,Pending,"Techlight","Techlight: Objective #2","1","17:27:54","N/A",
Bot408,"Марк Патриарх (zicoman)",1,Pending,"Mantis","Mantis: Objective #2","1","17:28:28","N/A",
Bot408,"Марк Патриарх (zicoman)",1,Completed,"Mantis","Mantis: Objective #4","1","17:31:01","17:31:11",
Bot408,"Марк Патриарх (zicoman)",1,Completed,"Mantis","Mantis: Objective #1","1","17:31:16","17:31:29",
Bot408,"Марк Патриарх (zicoman)",1,Completed,"Mantis","Mantis: Objective #3","1","17:31:34","17:31:54",
Bot408,"Марк Патриарх (zicoman)",1,Completed,"Pharma","Pharma: Objective #2","1","17:31:59","17:33:33",
Bot408,"Марк Патриарх (zicoman)",1,Completed,"Pharma","Pharma: Objective #1","1","17:33:38","17:33:43",
