Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"savid_dubs",5,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","21:45:10","21:45:37",
Bot3,"savid_dubs",5,Failed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","21:45:43","21:50:18",
Bot2,"Hicchy",9,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:45:10","21:48:54",
Bot5,"Terkoiz",6,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #2","2","21:45:10","21:45:43",
Bot5,"Terkoiz",6,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #1","2","21:45:48","21:46:28",
Bot5,"Terkoiz",6,Completed,"Stairs Near Tartowers","Stairs Near Tartowers: Objective #3","1","21:46:34","21:47:12",
Bot5,"Terkoiz",6,Failed,"Olive Restaurant","Olive Restaurant: Objective #1","1","21:47:18","21:47:33",
Bot5,"Terkoiz",6,Completed,"Olive Restaurant","Olive Restaurant: Objective #2","2","21:47:38","21:48:59",
Bot5,"Terkoiz",6,Failed,"Olive Restaurant","Olive Restaurant: Objective #4","1","21:49:04","21:50:55",
Bot5,"Terkoiz",6,Completed,"Olive Restaurant","Olive Restaurant: Objective #3","1","21:51:00","21:51:11",
Bot5,"Terkoiz",6,Completed,"Olive Restaurant","Olive Restaurant: Objective #5","1","21:51:16","21:51:31",
Bot5,"Terkoiz",6,Completed,"Olive Restaurant","Olive Restaurant: Objective #6","1","21:51:36","21:51:47",
Bot5,"Terkoiz",6,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #4","3","21:51:52","21:59:12",
Bot5,"Terkoiz",6,Completed,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","3","21:59:17","22:04:27",
Bot5,"Terkoiz",6,Completed,"Tarbank","Tarbank: Objective #2","1","22:04:32","22:05:13",
Bot5,"Terkoiz",6,Pending,"Tarbank","Tarbank: Objective #1","1","22:05:18","N/A",
Bot1,"蘑菇汤",6,Completed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:45:10","21:45:31",
Bot1,"蘑菇汤",6,Failed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:45:36","21:47:56",
Bot4,"Lavax",4,Completed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:45:10","21:46:30",
Bot4,"Lavax",4,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","21:46:35","21:53:06",
Bot6,"Junko Space Mommy",9,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:45:10","21:45:20",
Bot6,"Junko Space Mommy",9,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","21:45:26","21:45:49",
Bot6,"Junko Space Mommy",9,Completed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","21:45:54","21:46:06",
Bot6,"Junko Space Mommy",9,Completed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","21:46:11","21:46:44",
Bot6,"Junko Space Mommy",9,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #1","1","21:46:49","21:47:18",
Bot6,"Junko Space Mommy",9,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #2","1","21:47:23","21:47:49",
Bot6,"Junko Space Mommy",9,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #7","1","21:47:54","21:47:59",
Bot6,"Junko Space Mommy",9,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #8","1","21:48:04","21:48:40",
Bot6,"Junko Space Mommy",9,Completed,"TerraGroup Office Upstairs","TerraGroup Office Upstairs: Objective #9","1","21:48:45","21:53:02",
Bot6,"Junko Space Mommy",9,Failed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","21:53:07","22:01:58",
Bot24,"PreyToLive",4,Pending,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:48:00","N/A",
Bot23,"TGDelta2455",7,Completed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:48:01","21:53:49",
Bot23,"TGDelta2455",7,Completed,"Luxurious Life","Item Bottle of Le Jean wine","1","21:53:54","21:55:13",
Bot23,"TGDelta2455",7,Pending,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","21:55:18","N/A",
Bot23,"TGDelta2455",7,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","21:58:02","21:58:02",
Bot23,"TGDelta2455",7,Completed,"Olive Restaurant","Olive Restaurant: Objective #3","1","21:58:07","22:04:27",
Bot23,"TGDelta2455",7,Completed,"Olive Restaurant","Olive Restaurant: Objective #5","1","22:04:32","22:05:07",
Bot23,"TGDelta2455",7,Completed,"Olive Restaurant","Olive Restaurant: Objective #4","1","22:05:12","22:05:51",
Bot23,"TGDelta2455",7,Pending,"Olive Restaurant","Olive Restaurant: Objective #2","2","22:07:53","N/A",
Bot25,"Кирюха Мамкин (F1oridaMan)",1,Completed,"Skyside Hotel","Skyside Hotel: Objective #5","1","21:57:17","21:58:37",
Bot25,"Кирюха Мамкин (F1oridaMan)",1,Completed,"Skyside Hotel","Skyside Hotel: Objective #4","1","21:58:42","21:59:18",
Bot25,"Кирюха Мамкин (F1oridaMan)",1,Completed,"Skyside Hotel","Skyside Hotel: Objective #3","1","21:59:23","21:59:53",
Bot25,"Кирюха Мамкин (F1oridaMan)",1,Completed,"Skyside Hotel","Skyside Hotel: Objective #1","1","21:59:58","22:00:23",
Bot25,"Кирюха Мамкин (F1oridaMan)",1,Completed,"Skyside Hotel","Skyside Hotel: Objective #2","1","22:00:28","22:00:38",
Bot25,"Кирюха Мамкин (F1oridaMan)",1,Pending,"Underground Entrance","Underground Entrance: Objective #3","1","22:00:43","N/A",
Bot25,"Кирюха Мамкин (F1oridaMan)",1,Completed,"Underground Entrance","Underground Entrance: Objective #1","1","22:01:18","22:02:50",
Bot25,"Кирюха Мамкин (F1oridaMan)",1,Completed,"Underground Entrance","Underground Entrance: Objective #2","1","22:02:55","22:03:38",
Bot25,"Кирюха Мамкин (F1oridaMan)",1,Completed,"Underground North","Underground North: Objective #8","1","22:03:43","22:04:05",
Bot25,"Кирюха Мамкин (F1oridaMan)",1,Completed,"Underground North","Underground North: Objective #6","1","22:04:10","22:04:30",
Bot25,"Кирюха Мамкин (F1oridaMan)",1,Completed,"Underground North","Underground North: Objective #5","1","22:04:35","22:04:48",
Bot25,"Кирюха Мамкин (F1oridaMan)",1,Completed,"Underground North","Underground North: Objective #4","2","22:04:53","22:05:20",
Bot25,"Кирюха Мамкин (F1oridaMan)",1,Completed,"Underground North","Underground North: Objective #3","1","22:05:26","22:05:42",
Bot25,"Кирюха Мамкин (F1oridaMan)",1,Completed,"Underground North","Underground North: Objective #2","1","22:05:47","22:06:09",
Bot25,"Кирюха Мамкин (F1oridaMan)",1,Completed,"Underground North","Underground North: Objective #1","1","22:06:14","22:06:51",
Bot25,"Кирюха Мамкин (F1oridaMan)",1,Completed,"Underground North","Underground North: Objective #7","2","22:06:56","22:07:38",
Bot25,"Кирюха Мамкин (F1oridaMan)",1,Active,"Tarbank Upstairs","Tarbank Upstairs: Objective #3","1","22:07:43","N/A",
Bot26,"Ярослав Бэн (kova)",1,Completed,"Capital Insight","Capital Insight: Objective #1","1","21:58:37","21:58:44",
Bot26,"Ярослав Бэн (kova)",1,Completed,"Capital Insight","Capital Insight: Objective #4","4","21:58:49","22:01:31",
Bot26,"Ярослав Бэн (kova)",1,Pending,"Capital Insight","Capital Insight: Objective #5","5","22:01:36","N/A",
Bot26,"Ярослав Бэн (kova)",1,Completed,"Capital Insight","Capital Insight: Objective #3","1","22:02:44","22:03:18",
Bot26,"Ярослав Бэн (kova)",1,Completed,"Capital Insight","Capital Insight: Objective #2","1","22:03:23","22:03:53",
Bot26,"Ярослав Бэн (kova)",1,Completed,"Safe outside of Giovanni Teducci","Safe outside of Giovanni Teducci: Objective #1","1","22:03:58","22:04:33",
Bot26,"Ярослав Бэн (kova)",1,Completed,"Capital Insight Sniping","Capital Insight Sniping: Objective #1","2","22:04:38","22:06:45",
Bot26,"Ярослав Бэн (kova)",1,Active,"Capital Insight Sniping","Capital Insight Sniping: Objective #2","2","22:06:50","N/A",
Bot27,"Вася Котофей (Basuro)",1,Completed,"TerraGroup Garage","TerraGroup Garage: Objective #1","1","22:01:08","22:01:29",
Bot27,"Вася Котофей (Basuro)",1,Completed,"TerraGroup Garage","TerraGroup Garage: Objective #2","3","22:01:35","22:02:24",
Bot27,"Вася Котофей (Basuro)",1,Completed,"TerraGroup Office","TerraGroup Office: Objective #2","1","22:02:29","22:02:44",
Bot27,"Вася Котофей (Basuro)",1,Completed,"TerraGroup Office","TerraGroup Office: Objective #1","1","22:02:49","22:02:51",
Bot27,"Вася Котофей (Basuro)",1,Completed,"TerraGroup Office","TerraGroup Office: Objective #6","1","22:02:56","22:03:09",
Bot27,"Вася Котофей (Basuro)",1,Completed,"TerraGroup Office","TerraGroup Office: Objective #4","1","22:03:14","22:03:23",
Bot27,"Вася Котофей (Basuro)",1,Completed,"TerraGroup Office","TerraGroup Office: Objective #3","1","22:03:28","22:03:36",
Bot27,"Вася Котофей (Basuro)",1,Completed,"TerraGroup Office","TerraGroup Office: Objective #5","1","22:03:41","22:03:59",
