Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"SovietWalrus",13,Completed,"Population Census","Item Housing office journal","1","16:08:36","16:11:14",
Bot1,"SovietWalrus",13,Completed,"Primorksy 48 Apt 10","Primorksy 48 Apt 10: Objective #1","1","16:11:20","16:11:57",
Bot1,"SovietWalrus",13,Completed,"Primorksy 48 Apt 10","Primorksy 48 Apt 10: Objective #2","1","16:12:03","16:12:26",
Bot1,"SovietWalrus",13,Completed,"Post Office","Post Office: Objective #3","2","16:12:32","16:13:42",
Bot1,"SovietWalrus",13,Failed,"Post Office","Post Office: Objective #2","1","16:13:47","16:13:47",
Bot1,"SovietWalrus",13,Failed,"Post Office","Post Office: Objective #1","1","16:13:52","16:13:52",
Bot1,"SovietWalrus",13,Failed,"Pets Won't Need It - Part 2","Zone Pharma_1","1","16:13:58","16:13:58",
Bot1,"SovietWalrus",13,Failed,"Pets Won't Need It - Part 2","Zone Pharma_2","1","16:14:03","16:14:03",
Bot1,"SovietWalrus",13,Failed,"Pets Won't Need It - Part 2","Zone Pharma_3","1","16:14:08","16:14:08",
Bot1,"SovietWalrus",13,Completed,"Primorksy 46","Primorksy 46: Objective #7","1","16:14:13","16:14:13",
Bot1,"SovietWalrus",13,Completed,"Primorksy 46","Primorksy 46: Objective #1","1","16:14:18","16:14:18",
Bot1,"SovietWalrus",13,Failed,"Primorksy 46","Primorksy 46: Objective #6","1","16:14:23","16:14:23",
Bot1,"SovietWalrus",13,Failed,"Primorksy 46","Primorksy 46: Objective #3","1","16:14:28","16:14:29",
Bot1,"SovietWalrus",13,Failed,"Primorksy 46","Primorksy 46: Objective #2","1","16:14:34","16:14:34",
Bot1,"SovietWalrus",13,Failed,"Primorksy 46","Primorksy 46: Objective #8","1","16:14:39","16:14:39",
Bot1,"SovietWalrus",13,Failed,"Primorksy 46","Primorksy 46: Objective #5","1","16:14:44","16:14:44",
Bot1,"SovietWalrus",13,Failed,"Primorksy 46","Primorksy 46: Objective #4","1","16:14:49","16:14:49",
Bot1,"SovietWalrus",13,Failed,"Coffee Joy","Coffee Joy: Objective #3","1","16:14:54","16:14:54",
Bot1,"SovietWalrus",13,Failed,"Coffee Joy","Coffee Joy: Objective #2","1","16:14:59","16:14:59",
Bot2,"Tyfon",11,Completed,"IT Firm Office","IT Firm Office: Objective #9","1","16:08:37","16:09:26",
Bot2,"Tyfon",11,Completed,"IT Firm Office","IT Firm Office: Objective #7","1","16:09:31","16:09:46",
Bot2,"Tyfon",11,Completed,"IT Firm Office","IT Firm Office: Objective #8","1","16:09:51","16:10:00",
Bot2,"Tyfon",11,Completed,"IT Firm Office","IT Firm Office: Objective #6","1","16:10:05","16:10:30",
Bot2,"Tyfon",11,Failed,"IT Firm Office","IT Firm Office: Objective #5","1","16:10:35","16:21:01",
Bot2,"Tyfon",11,Completed,"IT Firm Office","IT Firm Office: Objective #1","1","16:11:03","16:11:06",
Bot2,"Tyfon",11,Completed,"IT Firm Office","IT Firm Office: Objective #4","1","16:11:11","16:11:20",
Bot2,"Tyfon",11,Completed,"IT Firm Office","IT Firm Office: Objective #3","1","16:11:25","16:11:52",
Bot2,"Tyfon",11,Completed,"IT Firm Office","IT Firm Office: Objective #2","1","16:11:57","16:12:14",
Bot2,"Tyfon",11,Failed,"Checkannaya 15","Checkannaya 15: Objective #7","1","16:12:19","16:12:26",
Bot2,"Tyfon",11,Failed,"Checkannaya 15","Checkannaya 15: Objective #2","1","16:12:31","16:12:31",
Bot2,"Tyfon",11,Failed,"Checkannaya 15","Checkannaya 15: Objective #8","1","16:12:36","16:12:55",
Bot2,"Tyfon",11,Failed,"Checkannaya 15","Checkannaya 15: Objective #5","1","16:13:00","16:13:00",
Bot2,"Tyfon",11,Failed,"Checkannaya 15","Checkannaya 15: Objective #6","1","16:13:05","16:13:10",
Bot2,"Tyfon",11,Failed,"Checkannaya 15","Checkannaya 15: Objective #3","1","16:13:15","16:13:17",
Bot2,"Tyfon",11,Failed,"Checkannaya 15","Checkannaya 15: Objective #4","1","16:13:23","16:13:24",
Bot2,"Tyfon",11,Failed,"Checkannaya 15","Checkannaya 15: Objective #1","1","16:13:29","16:13:31",
Bot3,"RaiRaiTheRaichu",11,Completed,"The Delicious Sausage","Zone quest_produkt4","1","16:09:13","16:09:58",
Bot3,"RaiRaiTheRaichu",11,Pending,"The Delicious Sausage","Zone quest_produkt2","1","16:10:03","N/A",
Bot3,"RaiRaiTheRaichu",11,Active,"The Delicious Sausage","Zone quest_produkt3","1","16:10:36","N/A",
Bot6,"Logical Solutions",3,Active,"S Cinema Store","S Cinema Store: Objective #1","1","16:09:32","N/A",
Bot7,"LimboFPS",14,Pending,"Pets Won't Need It - Part 2","Zone Pharma_2","1","16:09:32","N/A",
Bot8,"Rhyufer",14,Active,"The Delicious Sausage","Zone quest_produkt1","1","16:09:33","N/A",
Bot9,"Nootropix",8,Completed,"Concordia Apartment 8","Concordia Apartment 8: Objective #1","1","16:09:36","16:09:41",
Bot9,"Nootropix",8,Completed,"The Delicious Sausage","Zone quest_produkt4","1","16:09:47","16:14:53",
Bot9,"Nootropix",8,Active,"The Delicious Sausage","Zone quest_produkt2","1","16:14:58","N/A",
Bot10,"YankeeNoodle742",11,Completed,"The Delicious Sausage","Zone quest_produkt2","1","16:09:39","16:12:50",
Bot10,"YankeeNoodle742",11,Active,"The Delicious Sausage","Zone quest_produkt4","1","16:12:56","N/A",
Bot11,"MissingInAction",9,Pending,"Convoy","Convoy: Objective #1","1","16:09:39","N/A",
Bot45,"snapple",9,Failed,"Shop Near Kamchatskaya Arch","Shop Near Kamchatskaya Arch: Objective #1","1","16:14:51","16:25:32",
Bot48,"Oraceon",2,Failed,"Primorksy 46","Primorksy 46: Objective #8","1","16:14:54","16:18:16",
Bot46,"MoxoPixel",6,Failed,"Checkannaya 15 Upstairs","Checkannaya 15 Upstairs: Objective #2","1","16:14:56","16:15:01",
Bot43,"Amands2Mello",4,Failed,"Building across from Brodian Pub","Building across from Brodian Pub: Objective #2","1","16:15:03","16:16:10",
Bot44,"Anthal",2,Failed,"Primorksy 46","Primorksy 46: Objective #4","1","16:15:08","16:15:35",
Bot47,"snapple",17,Failed,"Population Census","Item Housing office journal","1","16:15:09","16:16:59",
Bot53,"NikitaWaifu",2,Pending,"Post Office","Post Office: Objective #3","1","16:15:16","N/A",
Bot54,"Props",13,Failed,"Primorksy 46","Primorksy 46: Objective #7","1","16:15:22","16:16:29",
Bot55,"NugentGL",16,Failed,"You've Got Mail","Item Registered letter","1","16:15:30","16:25:59",
Bot56,"CheekiBreeki",5,Completed,"Checkannaya 15","Checkannaya 15: Objective #7","1","16:15:35","16:16:55",
Bot56,"CheekiBreeki",5,Completed,"Checkannaya 15","Checkannaya 15: Objective #6","1","16:17:00","16:17:08",
Bot56,"CheekiBreeki",5,Completed,"Checkannaya 15","Checkannaya 15: Objective #4","1","16:17:13","16:17:23",
Bot56,"CheekiBreeki",5,Completed,"Checkannaya 15","Checkannaya 15: Objective #5","1","16:17:28","16:18:59",
Bot56,"CheekiBreeki",5,Completed,"Checkannaya 15","Checkannaya 15: Objective #3","1","16:19:04","16:19:29",
Bot56,"CheekiBreeki",5,Completed,"Checkannaya 15","Checkannaya 15: Objective #2","1","16:19:34","16:20:50",
