Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot174,"Life",4,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #1","1","16:37:37","16:37:43",
Bot174,"Life",4,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #2","1","16:37:48","16:38:05",
Bot174,"Life",4,Archived,"RUAF Roadblock Sniping","RUAF Roadblock Sniping: Objective #1","2","16:38:10","16:40:26",
Bot174,"Life",4,Archived,"Scav Base","Scav Base: Objective #1","5","16:40:31","16:44:00",
Bot174,"Life",4,Archived,"Scav Base","Scav Base: Objective #4","2","16:44:05","16:44:20",
Bot174,"Life",4,Archived,"Scav Base","Scav Base: Objective #3","1","16:44:25","16:44:38",
Bot174,"Life",4,Archived,"Scav Base","Scav Base: Objective #2","4","16:44:43","16:47:21",
Bot174,"Life",4,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","16:47:26","16:50:39",
Bot174,"Life",4,Failed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","1","16:50:44","16:51:51",
Bot174,"Life",4,Failed,"Introduction","Item Encrypted message","1","16:51:52","16:51:52",
Bot174,"Life",4,Failed,"Introduction","Zone huntsman_001","1","16:51:57","16:52:48",
Bot176,"FlashMode",13,Completed,"Search Mission","Zone pr_scout_base","1","16:37:39","16:39:52",
Bot176,"FlashMode",13,Failed,"Search Mission","Zone pr_scout_col","1","16:39:57","16:47:38",
Bot177,"DewardianDev",5,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","2","16:37:39","16:48:00",
Bot177,"DewardianDev",5,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","16:48:05","16:52:52",
Bot177,"DewardianDev",5,Failed,"Scav Base","Scav Base: Objective #2","1","16:52:57","16:53:07",
Bot177,"DewardianDev",5,Failed,"Scav Base","Scav Base: Objective #3","1","16:53:12","16:53:15",
Bot177,"DewardianDev",5,Failed,"Scav Base","Scav Base: Objective #4","1","16:53:20","16:53:23",
