Bot Name,Bot Nickname,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Miraki",13,Completed,"Delivery From the Past","Item Secure Folder 0022","1","22:11:48","22:12:24",
Bot1,"Miraki",13,Pending,"Golden Swag","Zone extraction_zone_zibbo","2","22:12:29","N/A",
Bot1,"Miraki",13,Active,"Golden Swag","Item Golden Zibbo lighter","1","22:17:19","N/A",
Bot2,"Zurugula",13,Pending,"Delivery From the Past","Item Secure Folder 0022","1","22:11:49","N/A",
Bot3,"aleves",1,Pending,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","22:11:50","N/A",
Bot4,"Thunderbags",5,Pending,"Big Red Rush","Big Red Rush: Objective #1","1","22:11:50","N/A",
Bot5,"NiggerFishes",3,Pending,"South Shack by Big Red","South Shack by Big Red: Objective #1","1","22:11:50","N/A",
Bot6,"Bnuy",8,Pending,"Golden Swag","Zone extraction_zone_zibbo","2","22:11:51","N/A",
Bot6,"Bnuy",8,Active,"Golden Swag","Item Golden Zibbo lighter","1","22:12:19","N/A",
Bot7,"captainfoam",3,Completed,"Crackhouse","Crackhouse: Objective #7","1","22:11:51","22:13:58",
Bot7,"captainfoam",3,Completed,"Crackhouse","Crackhouse: Objective #3","1","22:14:04","22:14:47",
Bot7,"captainfoam",3,Completed,"Crackhouse","Crackhouse: Objective #2","1","22:14:52","22:15:08",
Bot7,"captainfoam",3,Completed,"Crackhouse","Crackhouse: Objective #1","1","22:15:13","22:15:39",
Bot7,"captainfoam",3,Completed,"Crackhouse","Crackhouse: Objective #5","1","22:15:44","22:16:18",
Bot7,"captainfoam",3,Failed,"Crackhouse","Crackhouse: Objective #4","1","22:16:23","22:20:13",
Bot8,"F1oridaMan",6,Failed,"Crackhouse Rush","Crackhouse Rush: Objective #1","1","22:11:51","22:19:48",
Bot9,"vampuico",3,Completed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","22:11:52","22:12:05",
Bot37,"Logical Solutions",3,Completed,"Container Building","Container Building: Objective #1","1","22:17:01","22:17:05",
Bot37,"Logical Solutions",3,Completed,"Container Building","Container Building: Objective #2","1","22:17:10","22:17:19",
Bot37,"Logical Solutions",3,Completed,"Storage Building","Storage Building: Objective #1","1","22:17:24","22:17:54",
Bot37,"Logical Solutions",3,Completed,"Storage Building","Storage Building: Objective #2","1","22:18:00","22:18:08",
Bot37,"Logical Solutions",3,Failed,"Warehouse 4","Warehouse 4: Objective #1","1","22:18:13","22:24:52",
Bot42,"Oraceon",10,Failed,"The Extortionist","Zone dead_posylni","1","22:18:23","22:18:27",
Bot43,"Hupfi",8,Completed,"The Extortionist","Zone dead_posylni","1","22:18:23","22:24:37",
Bot43,"Hupfi",8,Failed,"The Extortionist","Item Secure Folder 0048","1","22:24:42","22:28:21",
Bot44,"agavalda",6,Failed,"Bad Rep Evidence","Item Secure Folder 0031","1","22:18:28","22:33:29",
Bot52,"DewardianDev",9,Failed,"Short Cut","Short Cut: Objective #1","1","22:18:54","22:23:11",
Bot53,"Drill",2,Failed,"Garage","Garage: Objective #3","1","22:19:00","22:24:44",
Bot51,"Colonel",14,Completed,"Bad Rep Evidence","Item Secure Folder 0031","1","22:19:14","22:19:52",
Bot51,"Colonel",14,Failed,"Tigr Safari","Zone place_peacemaker_002_N3","1","22:19:57","22:26:12",
Bot54,"Capataina",13,Failed,"Bad Rep Evidence","Item Secure Folder 0031","1","22:19:14","22:32:27",
Bot58,"Borkel",3,Completed,"RUAF Checkpoint","RUAF Checkpoint: Objective #1","1","22:19:51","22:20:00",
Bot58,"Borkel",3,Completed,"RUAF Crossing Camping","RUAF Crossing Camping: Objective #2","2","22:20:05","22:22:11",
Bot58,"Borkel",3,Active,"RUAF Crossing Camping","RUAF Crossing Camping: Objective #1","1","22:22:16","N/A",
Bot69,"Gleneth",3,Failed,"Fortress","Fortress: Objective #5","1","22:22:18","22:27:41",
Bot68,"Gleneth",11,Failed,"Chemical - Part 1","Zone bomj_place","1","22:22:28","22:22:58",
Bot77,"gasmo",1,Pending,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","22:24:09","N/A",
Bot77,"gasmo",1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","22:25:27","22:25:42",
Bot77,"gasmo",1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","22:25:47","22:26:03",
Bot77,"gasmo",1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","22:26:08","22:26:15",
Bot77,"gasmo",1,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","22:26:20","22:26:56",
Bot77,"gasmo",1,Active,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","22:27:01","N/A",
Bot78,"jonkler",7,Completed,"Crackhouse","Crackhouse: Objective #5","1","22:24:19","22:24:30",
Bot78,"jonkler",7,Pending,"Crackhouse","Crackhouse: Objective #7","1","22:24:35","N/A",
Bot78,"jonkler",7,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","22:35:11","22:37:20",
Bot78,"jonkler",7,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #3","1","22:37:25","22:37:34",
Bot78,"jonkler",7,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #4","1","22:37:39","22:38:16",
Bot78,"jonkler",7,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #1","1","22:38:21","22:38:40",
Bot78,"jonkler",7,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #5","1","22:38:45","22:39:06",
Bot78,"jonkler",7,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #2","1","22:39:11","22:39:26",
Bot78,"jonkler",7,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #6","1","22:39:31","22:39:43",
Bot78,"jonkler",7,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #7","1","22:39:48","22:39:52",
Bot78,"jonkler",7,Completed,"Dorms 2 Story","Dorms 2 Story: Objective #10","1","22:39:57","22:40:25",
Bot78,"jonkler",7,Completed,"Bus Terminal","Bus Terminal: Objective #1","1","22:40:30","22:41:30",
Bot78,"jonkler",7,Completed,"Short Cut","Short Cut: Objective #1","1","22:41:35","22:42:43",
Bot78,"jonkler",7,Active,"Factory Shacks","Factory Shacks: Objective #1","1","22:42:48","N/A",
Bot83,"Кися Фармацевт (Corty)",1,Completed,"Substation","Substation: Objective #6","1","22:25:39","22:25:53",
Bot83,"Кися Фармацевт (Corty)",1,Pending,"Substation","Substation: Objective #2","1","22:25:58","N/A",
Bot86,"Kobrakon",1,Failed,"Fortress","Fortress: Objective #9","1","22:26:03","22:36:32",
Bot86,"Kobrakon",1,Completed,"Fortress","Fortress: Objective #3","1","22:34:15","22:36:14",
Bot86,"Kobrakon",1,Failed,"Fortress","Fortress: Objective #2","1","22:36:19","22:36:32",
Bot84,"HB",15,Completed,"Tigr Safari","Zone place_peacemaker_002_N3","1","22:26:05","22:28:50",
Bot84,"HB",15,Active,"Tigr Safari","Zone place_peacemaker_002_N1","1","22:28:56","N/A",
Bot85,"TinglePlayerParkov",7,Pending,"Bad Rep Evidence","Item Secure Folder 0031","1","22:26:06","N/A",
Bot94,"JaydanCan",1,Completed,"Giving Tree","Giving Tree: Objective #1","1","22:27:32","22:28:16",
Bot94,"JaydanCan",1,Failed,"Fortress","Fortress: Objective #5","1","22:28:21","22:29:11",
Bot95,"GopnikWarrior",11,Failed,"The Extortionist","Item Secure Folder 0048","1","22:27:35","22:39:32",
Bot95,"GopnikWarrior",11,Failed,"The Extortionist","Zone vremyan_case","1","22:39:37","22:39:38",
Bot95,"GopnikWarrior",11,Failed,"The Extortionist","Zone dead_posylni","1","22:39:43","22:42:34",
Bot107,"Фаддей Нервный (jfetko)",1,Completed,"Crackhouse","Crackhouse: Objective #7","1","22:30:16","22:30:39",
Bot107,"Фаддей Нервный (jfetko)",1,Completed,"Crackhouse","Crackhouse: Objective #1","1","22:30:45","22:31:11",
Bot107,"Фаддей Нервный (jfetko)",1,Failed,"Crackhouse","Crackhouse: Objective #5","1","22:31:16","22:38:06",
Bot111,"Nightingale",2,Failed,"Fortress","Fortress: Objective #4","1","22:31:16","22:35:18",
Bot112,"IhanaMies",1,Failed,"Crackhouse","Crackhouse: Objective #5","1","22:31:16","22:32:11",
Bot113,"GeorgRavioli",7,Failed,"Center Crossing Camping","Center Crossing Camping: Objective #1","1","22:31:40","22:36:45",
Bot113,"GeorgRavioli",7,Failed,"Garage","Garage: Objective #1","1","22:31:55","22:36:45",
Bot114,"DasWulf",2,Failed,"Crackhouse","Crackhouse: Objective #7","1","22:31:42","22:39:01",
Bot121,"1nco",7,Failed,"Old Gas","Old Gas: Objective #2","1","22:32:42","22:33:06",
Bot124,"Коля Коряга (weewoo)",1,Pending,"Dorms 3 Story","Dorms 3 Story: Objective #4","1","22:32:55","N/A",
Bot128,"Толя Рэйдж (crustyselenium_)",1,Failed,"Crackhouse","Crackhouse: Objective #7","1","22:35:27","22:36:05",
